Date,Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
4/7/2020,12:32:15.609185,-0.65, 0.31, 9.85,4.37, -1.26, 2.57
4/7/2020,12:32:20.683629,-0.65, 0.32, 9.85,4.40, -1.42, 2.51
4/7/2020,12:32:25.762459,-0.65, 0.32, 9.84,4.34, -1.16, 2.58
4/7/2020,12:32:30.835139,-0.66, 0.32, 9.84,4.38, -1.49, 2.37
4/7/2020,12:32:35.914884,-0.66, 0.31, 9.88,4.42, -1.29, 2.48
4/7/2020,12:32:40.988315,-0.65, 0.31, 9.86,4.46, -1.35, 2.52
4/7/2020,12:32:46.068176,-0.66, 0.32, 9.85,4.38, -1.20, 2.56
4/7/2020,12:32:51.142081,-0.65, 0.32, 9.85,4.28, -1.22, 2.52
4/7/2020,12:32:56.220587,-0.67, 0.31, 9.85,4.41, -1.26, 2.48
4/7/2020,12:33:01.292774,-0.66, 0.32, 9.86,4.35, -1.20, 2.67
4/7/2020,12:33:06.371261,-0.66, 0.31, 9.85,4.36, -1.23, 2.59
4/7/2020,12:33:11.443323,-0.67, 0.31, 9.86,4.41, -1.27, 2.50
4/7/2020,12:33:16.526689,-0.67, 0.31, 9.86,4.43, -1.38, 2.56
4/7/2020,12:33:21.601723,-0.64, 0.32, 9.85,4.24, -1.03, 2.63
4/7/2020,12:33:26.680192,-0.66, 0.31, 9.85,4.44, -1.40, 2.56
4/7/2020,12:33:31.756861,-0.66, 0.31, 9.86,4.45, -1.32, 2.56
4/7/2020,12:33:36.836838,-0.67, 0.33, 9.85,4.37, -1.38, 2.51
4/7/2020,12:33:41.910572,-0.67, 0.31, 9.86,4.33, -1.34, 2.48
4/7/2020,12:33:46.989016,-0.68, 0.32, 9.85,4.34, -1.35, 2.56
4/7/2020,12:33:52.063349,-0.67, 0.31, 9.86,4.36, -1.51, 2.38
4/7/2020,12:33:57.143117,-0.65, 0.31, 9.85,4.38, -1.29, 2.54
4/7/2020,12:34:02.219739,-0.63, 0.30, 9.94,4.27, -1.33, 2.55
4/7/2020,12:34:07.299132,-0.66, 0.32, 9.86,4.40, -1.29, 2.44
4/7/2020,12:34:12.374136,-0.67, 0.31, 9.85,4.42, -1.42, 2.43
4/7/2020,12:34:17.449529,-0.69, 0.35, 9.90,4.32, -1.40, 2.42
4/7/2020,12:34:22.528576,-0.64, 0.33, 9.83,4.31, -1.32, 2.55
4/7/2020,12:34:27.610430,-0.68, 0.31, 9.87,4.42, -1.53, 2.48
4/7/2020,12:34:32.682544,-0.66, 0.31, 9.85,4.45, -1.39, 2.41
4/7/2020,12:34:37.761212,-0.65, 0.33, 9.85,4.41, -1.35, 2.45
4/7/2020,12:34:42.833520,-0.66, 0.31, 9.85,4.30, -1.22, 2.57
4/7/2020,12:34:47.912937,-0.66, 0.33, 9.85,4.37, -1.22, 2.58
